name,semimajor_axis,eccentricity,inclination,long_ascend_node,abs_mag,size,semiminor_axis,anomaly,x0_pos,y0_pos
Maeva,3.2396315,0.1296932,1.94799,28.07986,12.2,12.458889999152165,3.21227012607684,68.33441,1.1872955658870836,2.988765585327402
Beletic,3.9823706,0.1272317,5.7663,195.55614,11.4,18.00857510412322,3.9500059672539267,246.611,-1.5700443998203164,-3.6300704606164333
Andakerkhoven,3.1771281,0.0742485,10.45893,95.45872,13.0,8.619445964685667,3.1683584978997916,62.83987,1.4471202286106557,2.820617550621575
Miyazawaseiroku,2.4308933,0.1979778,11.86042,218.89057,14.8,3.762524628723902,2.382777423466861,12.32964,2.3726196842993272,0.5186006385795042
Alpiapuane,2.555514,0.1306409,13.50366,153.40709,13.7,6.244236612741559,2.5336126139543844,143.45912,-2.0468924620191893,1.5168820314369353
Venvolkov,2.3470768,0.2010146,2.08249,72.81295,14.5,4.3199562784405625,2.2991688444041114,150.25357,-2.02732123317231,1.1585419690122354
Stavropolis,2.2710084,0.2317598,3.8816,265.19556,11.5,17.198055709247882,2.2091757541836414,84.06203,0.2286087157794782,2.1979542063340762
Gaywray,2.3187743,0.1808917,23.57199,206.68086,13.3,7.507223600835081,2.280521529721394,152.16717,-2.043004597630374,1.0786506191797873
Arakihiroshi,2.3713552,0.0556356,0.56962,39.62835,14.0,5.438502736768584,2.367682304026287,171.63502,-2.3460503051677617,0.3449694930902741
Vondrak,2.2210976,0.1250979,5.48278,351.37515,16.4,1.800857510412324,2.2036495512501104,197.41882,-2.117734596162581,-0.6644218017079168
Manjiro,2.3089183,0.1028769,3.87912,145.46611,13.6,6.538518417986335,2.2966673997974283,120.12836,-1.1543267370917825,1.989048349452825
Janejacobs,2.2791785,0.0817605,5.32146,89.20269,13.4,7.169342880402649,2.271547823572177,95.65941,-0.2240155125312615,2.2605490542937297
Kunming,3.1193617,0.2414171,14.60447,36.75224,11.7,15.684813222680875,3.027095493071402,155.02058,-2.812099455281895,1.3100740093909509
Patry,2.234427,0.1297705,4.94002,74.66832,12.32,11.789064706566398,2.215532813053409,347.44858,2.180145644532296,-0.4853797926537943
Jayaranjan,2.296243,0.1522648,3.92628,31.57714,14.7,3.939846951481413,2.2694681968390373,225.28247,-1.6060692038319087,-1.6219837355653797
Akasofu,2.2720094,0.1682029,4.81321,108.64284,13.4,7.169342880402649,2.2396387077238145,335.54018,2.062958371082046,-0.938397694620976
Hieronymus,2.5536158,0.1796826,8.13138,231.63566,14.3,4.736737867601934,2.512054778250105,305.93683,1.4825738318738204,-2.045326165595359
de Elia,2.3868142,0.1306792,1.7569,237.9149,14.9,3.5931831251543818,2.366346565332179,70.90589,0.7747893202373178,2.2382021592867107
Aepic,2.3005011,0.0998877,3.72394,45.11576,17.8,0.9451034563112187,2.2889956436010723,62.27631,1.0660108429235766,2.028413227530967
Tarantino,3.1568328,0.1799788,5.25172,20.056,14.0,5.438502736768584,3.1052832650638056,162.17962,-3.0006694911752234,0.9645870670957074
Trubetskaya,2.6187051,0.238486,15.6473,119.91202,11.6,16.424015696315376,2.5431448138224,127.97364,-1.5819182839677828,2.0266842974909576
Wallerius,2.3787537,0.2030003,25.1456,224.11184,15.0,3.4314632447397715,2.329224896876702,10.45326,2.337621019005086,0.431280286045304
Utsumikazuhiko,2.5478739,0.1730955,5.89491,207.54761,13.8,5.963199670531792,2.509413858409718,80.39509,0.4188785759208261,2.4752688280159187
Gunasekaran,2.5717368,0.0980902,2.83025,283.98164,15.2,3.1295316740540717,2.559334671843351,175.49709,-2.563721983001072,0.20190031200352596
Trettenero,3.1708227,0.1798554,9.28425,242.03653,14.3,4.736737867601934,3.1191162825442973,149.23977,-2.712900373901317,1.6146620133613117
Atakanoseki,2.7334823,0.2785901,8.82193,2.69631,13.5,6.846669297430097,2.625264003398878,344.12235,2.6209543936723545,-0.7454932766128175
Raumurthy,2.3994677,0.1541726,3.30995,129.53988,15.2,3.1295316740540717,2.3707794984009793,196.44002,-2.2991283949840695,-0.6784156468629081
Malyshev,2.3676335,0.1271353,6.5911,169.31484,14.5,4.3199562784405625,2.348421063916807,75.73108,0.5791075585561366,2.2770894957463628
Seishika,2.4869981,0.1263126,6.1106,269.44254,12.9,9.025667938004487,2.467078457368274,334.8451,2.2478458586328367,-1.0555955987459948
Nernst,2.9944191,0.1124573,6.29205,159.71628,13.6,6.538518417986335,2.9754241767487564,4.05785,2.9868166380047114,0.21188923447846503
Davegriep,3.1656006,0.0365326,7.82142,307.1613,12.7,9.896448099650542,3.1634874405626734,120.06538,-1.585134420570499,2.738312457895839
Runge,2.3271453,0.0794355,4.55452,11.04698,14.3,4.736737867601934,2.3197915392243997,122.55114,-1.2493104859997652,1.9571674925395874
Roshchina,2.2614336,0.155073,8.3914,68.50322,13.5,6.846669297430097,2.234077068943865,305.58972,1.305509107245974,-1.8242072264526281
Burns,3.081081,0.1775282,2.78273,111.64795,12.1,13.04605939513808,3.0321402276793394,300.7534,1.5568951454545925,-2.616552090492682
Peirithoos,5.3399211,0.067587,1.20505,100.15729,12.4,11.362642725569703,5.327710753163754,285.16727,1.3941489058732903,-5.142930030748502
Vaclavmorava,2.3715724,0.2219519,1.64391,316.4313,15.7,2.485875370165096,2.312419729988559,348.30545,2.319875536666521,-0.48019300128284237
Rudruna,2.4631257,0.1456889,6.44109,169.20505,14.3,4.736737867601934,2.436845263560657,202.87004,-2.2657886190406904,-0.9557107033149856
Utting,2.5757347,0.1881558,11.84739,325.10612,13.7,6.244236612741559,2.5297300002953067,283.30311,0.582643680786107,-2.4641587748170966
Angelakong,2.3582131,0.170518,6.60821,327.22669,15.1,3.2770219579315416,2.3236760348432766,291.97382,0.8712551125598442,-2.159272170819119
Bykov,2.2700559,0.1960847,3.8217,321.28208,14.3,4.736737867601934,2.225987218992785,94.96177,-0.19255560598789473,2.2179646175030503
Numaguti,2.3553215,0.2506373,9.04995,33.51073,14.2,4.959973445799733,2.2801421405867686,298.96295,1.1123683495690229,-2.0098295533735
Ichikawa,3.1457279,0.1837813,2.54305,90.76928,12.6,10.362853329448157,3.0921472138062565,132.55978,-2.1077486849577816,2.2953913296147035
Goff,2.5635445,0.1076843,14.80295,64.11445,13.1,8.231506991887196,2.548637846257838,151.1092,-2.24142415804935,1.2368630698148164
Webern,3.0145582,0.0595694,10.99504,131.76989,12.4,11.362642725569703,3.0092048465592613,274.59413,0.24103043164755217,-2.999570684754128
Kuwano,2.5903196,0.2594644,11.83634,178.96315,13.0,8.619445964685667,2.501608077256826,139.92186,-1.9530249535548136,1.6433266213336697
Stroobantia,2.9273475,0.0302311,7.79217,22.24742,10.67,25.204573413327747,2.9260095143814167,106.11792,-0.8123331382174709,2.8110940277103555
Albertine,2.3657576,0.154446,5.58579,307.37399,12.8,9.451034563112186,2.3373714217976604,158.45816,-2.1968927597192702,0.8672328045838046
Rottman-Yang,2.3954031,0.1646862,3.05347,130.79056,15.0,3.4314632447397715,2.3626962949889614,257.37609,-0.5167031984539354,-2.307074458387609
Boerhaave,3.0072354,0.0479258,11.03511,89.95763,12.2,12.458889999152165,3.0037797816825518,179.25369,-3.0069797044973585,0.03916983010831327
Lully,3.0453073,0.1364806,3.43562,229.74669,13.2,7.861028149035883,3.0168115793555024,90.70741,-0.03724657395117394,3.016585924413775
Bartasiute,2.6086666,0.166269,7.23289,359.05769,15.9,2.2671452828784515,2.572355089546161,88.85391,0.05145178532785458,2.571854701520852
Fernandus,2.1702465,0.0332991,0.91829,163.30647,13.2,7.861028149035883,2.1690429489947958,103.51471,-0.5069098415229555,2.109045909753629
Aretta,3.176057,0.1812237,0.80606,142.64048,12.5,10.851239560529478,3.1234675303988877,99.10941,-0.4947117728552791,3.0853439719003917
Vorobjov,2.1819991,0.1093209,3.2741,329.97707,14.2,4.959973445799733,2.168921309007694,83.2033,0.2567063327897176,2.1538591077318765
Bobylapointe,2.4118052,0.1544798,0.87083,182.60526,15.3,2.988679546440889,2.382853762679892,311.67424,1.5927706782845905,-1.7893056374057414
Robbynaish,2.3655203,0.1420367,7.96274,157.53289,14.3,4.736737867601934,2.3415372175369114,145.65137,-1.9466506239902528,1.3303374886151182
Cellino,2.3933021,0.1598572,3.089,48.93612,13.4,7.169342880402649,2.3625245938270414,130.70042,-1.5490511812953376,1.8009114408035172
DuBridge,2.7287472,0.2746745,34.09953,48.03472,13.9,5.694811474323331,2.62379212959081,222.41811,-1.9780886149328907,-1.807389997863657
Brucekoehn,3.1741836,0.1209789,2.91391,88.10283,13.7,6.244236612741559,3.1508694720431025,179.61659,-3.1741114751240223,0.02124073111120793
Plavsk,2.894964,0.1415116,3.32565,84.39687,12.2,12.458889999152165,2.865830812038502,39.09657,2.237661630711312,1.8182758613187762
Ransome,2.4544071,0.1883657,2.51092,171.94246,13.9,5.694811474323331,2.4104706551164354,340.31727,2.3061941996573014,-0.8249529095537855
Williamweber,2.2470452,0.1798373,5.65752,328.11858,15.2,3.1295316740540717,2.2104102032422612,311.76337,1.482933141153034,-1.66070598158022
Maestlin,2.9191709,0.2141457,7.51233,31.80389,14.1,5.193729792671286,2.85145118444965,67.13647,1.1117506853888575,2.6365630567071157
Etiennemarey,2.1637936,0.0152097,1.77913,78.35213,13.7,6.244236612741559,2.1635433049554673,287.53739,0.6519432635596453,-2.063004589870133
Zanonato,2.3510841,0.0836533,2.19918,60.91799,14.2,4.959973445799733,2.3428433619225304,212.63763,-1.9778180379347836,-1.2666984102786267
Kannabe,2.6769131,0.3099978,11.29154,2.11907,13.8,5.963199670531792,2.545041063178594,173.24787,-2.6563949619634646,0.3145051993471118
Robertfrazer,2.4077151,0.3403204,21.10673,340.46999,12.8,9.451034563112186,2.263997470871378,299.80363,1.141723956650232,-1.9932695692209725
Bernardbowen,2.1987985,0.0944359,6.19687,336.76237,13.8,5.963199670531792,2.1889719467348376,233.99403,-1.288817560266828,-1.773516552318593
Calandrelli,2.5551193,0.2098272,9.21737,152.89974,13.5,6.846669297430097,2.498238474800591,136.71498,-1.840191023047653,1.7332001542851925
Sfranke,2.3513761,0.1896611,1.44435,238.07365,14.8,3.762524628723902,2.3086977193088414,161.67315,-2.2280041245649254,0.7380003807082195
