name,semimajor_axis,eccentricity,inclination,long_ascend_node,abs_mag,size,semiminor_axis,anomaly,x0_pos,y0_pos
K13L35Y,43.0077029,0.0606675,8.69797,294.71944,6.0,216.51069365823926,42.92848403574931,310.76862,28.054577574487276,-32.53755102059772
K10K39Z,45.5406829,0.0529635,26.02658,53.11335,4.0,543.8502736768587,45.47676422241571,261.92626,-6.387273015465161,-45.02725029657688
K11Uf1D,39.0350924,0.287152,15.71634,19.09631,7.1,130.4605939513808,37.39113061790777,284.87471,9.624720231047,-36.236718474272045
K04H79H,43.6051621,0.0629341,8.58769,222.27753,6.9,143.04719672357845,43.518722921828676,300.923,22.375352304072177,-37.352453791609754
K15RO5X,411.9791691,0.8893227,12.14433,8.59941,6.2,197.460099452781,188.38989609908361,357.99218,410.7737690596229,-14.40066909287168
K17Y05G,62.232593,0.8802337,23.72059,201.94475,12.5,10.851239560529478,29.531882339234166,359.28738,62.21122650584212,-0.7737960937268233
K14F72F,49.9421659,0.2646742,27.13193,303.14078,6.9,143.04719672357845,48.161122931732244,131.9192,-32.690700857403336,36.40982844455295
K05JI5Y,44.4267586,0.0649239,2.13939,31.90678,6.8,149.7888034079121,44.3330278250263,107.58468,-13.39625041950664,42.269543089238965
K04Q29E,41.0043113,0.0874112,24.07879,317.81023,7.5,108.51239560529478,40.84735973209097,25.37423,37.022384349426424,17.559118918235566
K15VG5K,39.3541266,0.2501749,3.12628,174.85921,10.3,29.886795464408916,38.10269137600264,14.63886,37.995684653798136,9.92465789518114
K15KH3L,39.7936005,0.3301986,10.36448,106.18587,9.9,35.931831251543834,37.561636394807316,32.00671,33.1789372147702,20.737904220966765
K16F58W,42.0220569,0.0584726,20.28157,327.23631,7.8,94.51034563112196,41.95015774003207,359.94641,42.022038455922264,-0.039304146250972234
K14F72C,76.1181595,0.321268,29.85874,177.99757,4.7,393.9846951481412,72.0830077436349,357.23827,76.01959623362069,-3.6670823899552234
K01QT8H,39.3424037,0.1111864,6.70908,129.36974,8.2,78.61028149035887,39.098463862464264,70.479,13.073869353122117,36.87650845079292
K13SA0M,45.2531091,0.1240949,1.47988,102.43664,8.5,68.46669297430097,44.90331859461952,356.49084,45.166937408667955,-2.769776255396213
K11H60O,96.1864278,0.6190261,22.22284,353.23975,6.2,197.460099452781,75.54197464281341,1.52627,96.13112043372813,2.561388661579572
K15G56Q,43.1804589,0.1022183,18.10837,24.70215,7.2,124.58889999152157,42.954279276487384,217.54089,-34.17167648385677,-26.25961687848426
K15DO9L,41.2275778,0.1862739,13.93622,293.34024,8.7,62.44236612741562,40.5060067364457,358.67319,41.216126860378395,-0.9546208650803686
K00CB4N,43.8856803,0.0400573,1.55245,82.49602,7.1,130.4605939513808,43.85045696233347,120.56714,-22.304676778324062,37.76456341011889
20000,42.7800905,0.0541236,17.2197,97.36929,3.6,653.8518417986337,42.717385314581094,117.24895,-19.56448863048755,37.98851225214261
K14M70B,46.5808867,0.1161707,9.24958,351.42379,5.8,237.39925482809605,46.265499757125426,24.08193,42.47827212211909,18.985374145946615
K04H78Z,39.9074813,0.1578416,13.29556,25.74047,7.3,118.98147579246931,39.407218856486224,350.31711,39.32473930311994,-6.709814902852436
K00F53V,39.4967299,0.1677261,17.3107,207.50258,8.3,75.07223600835081,38.93720479754305,32.17241,33.29564506507516,20.945002297903972
I7661,24.1273128,0.4072765,33.10203,62.45295,9.3,47.36737867601935,22.03559316500523,36.35572,18.785686324329706,13.827605563242019
90482,39.2657866,0.2241665,20.59305,268.80632,2.2,1245.8889999152161,38.26650613085248,180.34701,-39.26502835065541,-0.23781025762290545
K15KH4E,56.0384754,0.2969895,24.0258,212.53895,7.9,90.25667938004489,53.510061130341256,9.80649,55.142359056324445,9.531171840032572
E5452,41.630983,0.0246614,19.28642,186.96095,3.7,624.423661274156,41.61832141214968,352.7508,41.29801446392711,-5.253185056207194
K15G56D,65.4954762,0.4146847,6.3215,177.45867,7.8,94.51034563112196,59.598601737717466,19.64709,60.970859863866785,21.767227407581085
K15VH2V,42.3819964,0.1637098,20.08158,226.07499,7.4,113.62642725569708,41.81020143147007,278.20953,5.971859497405459,-41.393062717896946
50000,43.691798,0.0395519,7.98813,188.83696,2.4,1136.2642725569715,43.65760993108699,300.71282,22.302033196731802,-37.54176739380325
