name,semimajor_axis,eccentricity,inclination,long_ascend_node,abs_mag,size,semiminor_axis,anomaly,x0_pos,y0_pos,gmag,rmag,imag,zmag
2000 UH11,0.8702983,0.4224184,32.22663,29.79057,19.6,0.41255262178474905,0.7888392122311582,95.62184,-0.07734271565751737,0.7857180158475786,1.0,2.760688,4.704976,16.250128
2000 VE62,1.6188579,0.2876133,22.17947,207.11971,17.0,1.366090123221672,1.5504556832882366,168.69181,-1.5846853903138396,0.31688695732776423,1.0,3.074688,3.2907200000000003,2.8335359999999996
2000 VJ61,2.1851905,0.5626863,18.67712,270.56311,16.0,2.1651069365823927,1.8064325393839227,228.48668,-1.2903902084996939,-1.4578377480056899,1.0,2.5396319999999997,2.8536319999999997,2.4064959999999997
2000 WG6,2.3178554,0.4995152,11.84767,60.76046,17.3,1.1898147579246918,2.0079700058319085,81.35688,0.302610392612336,1.990783610526482,1.0,2.290944,2.444176,6.8024960000000005
2000 WN107,2.1495768,0.6142779,14.32739,163.41956,15.9,2.2671452828784515,1.6962090578780202,247.52646,-0.6670371290695173,-1.6124759091943717,1.0,2.758176,2.773248,2.665232
2000 XK44,1.7239685,0.3855927,11.23885,48.12346,18.1,0.8231506991887187,1.5906524658292338,69.63273,0.5586587357816635,1.5048186568545054,1.0,3.021936,3.330912,3.381152
2000 YG4,2.2107152,0.5032765,2.57455,263.068,20.8,0.23739925482809593,1.9103352301947878,188.94997,-2.174889524254777,-0.34252220102475717,1.0,2.73808,2.936528,2.54968
2001 AU43,1.8966271,0.376747,72.15568,129.30419,15.9,2.2671452828784515,1.7568764035932958,251.39357,-0.564653336269881,-1.6772107730888774,1.0,2.6376,2.923968,3.0118880000000003
2001 CQ36,0.9377476,0.1771365,1.25811,30.79186,22.5,0.1085123956052948,0.9229183347084762,110.09523,-0.317686584419681,0.8683433867303928,1.0,3.9664479999999998,3.273136,2.740592
2001 DS8,2.1268199,0.514491,2.42063,175.77724,22.6,0.10362853329448146,1.823739086839258,317.93511,1.4649913118965951,-1.3220914699735826,1.0,2.102544,2.3562559999999997,2.290944
2001 FC7,1.4357846,0.1144311,2.62052,99.11607,18.4,0.7169342880402657,1.4263531994894125,42.36039,1.0577508528561146,0.9645191372902457,1.0,2.6677440000000003,2.65016,2.567264
2001 FD90,2.0464072,0.4778153,7.29875,202.21909,19.1,0.5193729792671287,1.7976875299022776,34.4555,1.6127604433314,1.1065762769563006,1.0,2.941552,2.891312,1.838784
2001 FF90,2.5903298,0.6278614,23.2768,354.48545,16.8,1.4978880340791203,2.016118868852571,89.65477,0.012147936412420691,2.0160966979474857,1.0,2.609968,2.831024,2.6376
2001 FY,1.8858695,0.3273674,4.73347,111.24583,19.1,0.5193729792671287,1.7819526772413348,338.56446,1.7415187284846079,-0.6837401832348912,1.0,3.124928,3.4012480000000003,3.069664
2001 HH31,1.6544736,0.2888188,12.85285,71.63459,17.6,1.0362853329448145,1.5839661878335054,69.13809,0.5670845829235847,1.4880152500143795,1.0,3.172656,3.37864,3.024448
2001 KN20,2.147766,0.4522703,12.07254,104.96508,17.0,1.366090123221672,1.9155515163592858,232.76068,-1.205204533966768,-1.5855377336541205,1.0,3.0922720000000004,3.2128479999999997,2.8636799999999996
2001 MA8,2.372744,0.463068,7.58747,269.62283,17.7,0.9896448099650541,2.1030170007903273,330.27119,1.9945922943076548,-1.1390249805408794,1.0,3.132464,3.2279199999999997,2.02216
2001 MK3,1.6695938,0.2477007,29.56676,128.86176,15.9,2.2671452828784515,1.6175635855016681,294.97977,0.6868623769839183,-1.4743399831580524,1.0,3.1475359999999997,3.376128,2.866192
2001 PE1,2.7794565,0.5933892,3.45695,182.99096,18.2,0.7861028149035884,2.237228128074602,290.55925,0.8032950619898165,-2.141755775414656,1.0,2.959136,3.3434719999999998,2.818464
2001 PJ9,1.7992443,0.6391433,10.53733,283.84143,18.5,0.6846669297430096,1.3837766040136752,160.91766,-1.640892146124331,0.5676435006582213,1.0,2.828512,3.069664,2.594896
2001 QC34,1.1283273,0.187472,6.23608,271.6395,20.1,0.32770219579315385,1.1083219974204228,128.35654,-0.692474701394137,0.8750483248999347,1.0,2.768224,2.9968160000000004,2.42408
2001 QD96,1.2739913,0.4963509,17.95353,330.31304,18.3,0.750722360083508,1.1059798585979406,344.71794,1.2152217603594475,-0.33203811185884247,1.0,2.56224,2.705424,2.80088
2001 RB18,2.350867,0.5390298,4.17473,198.28704,18.5,0.6846669297430096,1.9801039932160065,316.04308,1.5465789852627065,-1.4912683165740908,1.0,1.4067200000000002,1.853856,1.509712
2001 SJ262,2.945017,0.5747235,10.80157,210.43019,19.9,0.35931831251543855,2.4100477812629717,167.5805,-2.843844914954093,0.6262745912141832,1.0,2.542144,2.6476480000000002,2.826
2001 SW169,1.2483199,0.0514977,3.55414,8.43357,19.2,0.4959973445799733,1.2466635207188455,272.32428,0.05055881547390556,-1.245640605924718,1.0,3.006864,3.4715839999999996,3.1073440000000003
2001 UY4,1.4528973,0.7875271,5.43682,160.78054,18.2,0.7861028149035884,0.8953915814803344,28.77309,1.0847381343640794,0.5956765638148642,1.0,2.5697759999999996,2.645136,2.48688
2001 WL15,1.9877737,0.4741132,6.94023,112.17568,18.8,0.5963199670531791,1.7501629778783299,58.31728,0.9491082782425342,1.5377744347560396,1.0,2.564752,2.818464,2.368816
2001 WR1,1.2772473,0.2025888,25.02955,6.52693,17.8,0.9451034563112187,1.2507621672222569,17.15293,1.2181712907757845,0.3759906290374281,1.0,3.0571040000000003,3.361056,3.03952
2001 XR31,1.7067328,0.4364412,22.71774,302.05113,16.5,1.7198055709247886,1.5356034502149916,22.54441,1.5497353706770045,0.6433291553856029,1.0,2.92648,3.08976,2.21056
2001 XT1,1.5284531,0.5793832,2.7312,316.25203,18.7,0.6244236612741558,1.2457737676076206,104.84125,-0.32266764705754575,1.2176976243213244,1.0,2.740592,3.15256,2.9189439999999998
2001 XU10,1.7535081,0.4395375,42.02666,310.16297,15.2,3.1295316740540717,1.5750434812081069,293.43663,0.6362470577119821,-1.467705098339655,1.0,2.765712,3.074688,2.5521920000000002
2002 AH29,2.4094118,0.5611257,11.40321,117.93564,21.5,0.17198055709247903,1.9943438786788974,213.91042,-1.8703043977747171,-1.2572861870222423,1.0,2.7506399999999998,3.333424,2.534608
2002 AU4,0.855498,0.3735539,17.18466,99.45324,19.4,0.4523549545486838,0.7935671955619348,123.0367,-0.4418945815371151,0.6795047125743441,1.0,2.8963360000000002,2.87624,2.866192
2002 JB9,2.7171893,0.7846179,46.75727,70.33033,15.9,2.2671452828784515,1.684602037419053,261.62104,-0.2471001735781281,-1.6776217333963213,1.0,2.740592,3.03952,3.03952
2002 KF4,2.9034749,0.5769543,37.04147,77.89267,16.9,1.4304719672357855,2.371489861831105,140.9845,-2.0613082398936937,1.6701380109557131,1.0,3.200288,3.564528,3.4213440000000004
